,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
7834,s3520-110,1,0,0,1,1,1,0
7835,s3541-110,0,0,0,1,1,1,0
7836,s3544-110,1,0,0,1,1,1,0
7837,s3561-110,0,0,0,1,1,1,0
7838,s3567-110,0,0,0,0,1,1,0
7839,s3586-110,0,0,0,0,1,1,0
7840,s3587-110,0,0,0,0,1,1,0
7841,s3588-110,0,0,0,0,1,1,0
7842,s3609-110,0,0,0,1,1,1,0
7843,s3625-110,1,0,0,1,1,1,1
7844,s3631-110,0,0,0,1,1,1,0
7845,s3635-110,0,0,0,1,1,1,0
7846,s3653-110,1,0,0,0,1,1,0
7847,s3674-110,0,0,0,1,1,1,0
7848,s3706-110,0,0,0,1,1,1,0
7849,s3707-110,0,0,0,0,1,1,0
7850,s3708-110,1,0,0,1,1,1,0
7851,s413-110,1,0,0,1,1,1,0
7852,s511-110,1,0,0,0,1,1,0
7853,s649-110,1,0,0,1,1,1,0
7854,s661-110,1,0,0,1,1,1,0
7855,s670-110,0,0,0,1,1,1,0
7856,s694-110,1,0,0,1,1,1,1
7857,s701-110,0,0,0,0,1,1,0
7858,s748-110,0,0,0,1,1,1,0
7859,s757-110,0,0,0,0,1,1,0
7860,s764-110,1,0,0,1,1,1,0
7861,s766-110,1,0,0,1,1,1,0
7862,s776-110,1,0,0,1,1,1,0
7863,s804-110,1,0,0,1,1,1,0
7864,s820-110,0,0,0,1,1,1,0
7865,s837-110,0,0,0,1,1,1,0
7866,s895-110,0,0,0,1,1,1,0
7867,s907-110,1,0,0,1,1,1,0
7868,s937-110,1,0,0,1,1,1,0
7869,s947-110,0,0,0,0,1,1,0
7870,s959-110,1,0,0,1,1,1,0
7871,s960-110,1,0,0,1,1,1,0
7872,s982-110,1,0,0,1,1,1,0
7873,s993-110,1,0,0,0,1,1,0
7874,s1061-110,0,0,0,0,0,1,0
7875,s1125-110,1,0,0,1,0,1,0
7876,s1126-110,1,0,0,1,0,1,0
7877,s1890-110,0,0,0,0,0,1,0
7878,s2086-110,1,0,0,1,0,1,0
7879,s2293-110,1,0,0,1,0,1,1
7880,s545-110,1,0,0,1,0,1,0
7881,s782-110,0,0,0,0,0,1,0
7882,s1045-110,0,0,0,0,0,1,0
7883,s1046-110,0,1,0,0,0,1,1
7884,s1047-110,1,0,0,1,0,1,0
7885,s1279-110,0,0,0,0,0,1,0
7886,s1948-110,1,0,0,1,0,1,0
7887,s2174-110,1,0,0,0,0,1,1
7888,s2325-110,0,0,0,1,0,1,0
7889,s2572-110,0,0,0,0,0,1,0
7890,s2626-110,1,0,0,1,0,1,1
7891,s2744-110,1,0,0,0,0,1,0
7892,s2791-110,0,0,0,0,0,1,0
7893,s2816-110,1,0,0,0,0,1,1
7894,s2945-110,0,0,0,0,0,1,0
7895,s304-110,1,0,0,1,0,1,0
